"Ano";"Mês";"Grupo Econômico";"Empresa";"CNPJ";"UF";"Tipo de Outorga";"Tipo de Atendimento";"Acessos"
2022;12;OUTROS;BR CONECTA LTDA - ME;21438434000148;SP;Autorização;RURAL;3
2022;12;OUTROS;CDI TELECOM LTDA - EPP;8584873000109;SC;Autorização;RURAL;26
2022;12;OUTROS;CDI TELECOM LTDA - EPP;8584873000109;SC;Autorização;RURAL;7
2022;12;TELECOM ITALIA;TIM;2421421000111;MG;Autorização;RURAL;5
2022;12;OUTROS;ZAFEX TELECOMUNICACOES LTDA;24952347000100;ES;Autorização;RURAL;3
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;67
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;123
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;179
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;143
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;82
2022;12;OUTROS;ULTRAWEB TELECOMUNICACOES LTDA;18514944000142;SC;Autorização;RURAL;2
2022;12;TELECOM ITALIA;TIM;2421421000111;PI;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MT;Autorização;RURAL;29
2022;12;TELEFÔNICA;VIVO;2558157000162;RS;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;RS;Autorização;RURAL;1
2022;12;OUTROS;Tecinfo Solucoes Ltda;19406428000167;PR;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;28
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MT;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;9
2022;12;TELEFÔNICA;VIVO;2558157000162;BA;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;8
2022;12;TELEFÔNICA;VIVO;2558157000162;MT;Autorização;RURAL;6
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;7
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;4
2022;12;ALGAR (CTBC TELECOM);ALGAR (CTBC TELECOM);71208516000174;MG;Autorização;RURAL;4
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;3
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;6
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;5
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;ES;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;BA;Autorização;RURAL;20
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;5
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;6
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;18
2022;12;TELEFÔNICA;VIVO;2558157000162;ES;Autorização;RURAL;5
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;5
2022;12;TELEFÔNICA;VIVO;2558157000162;RS;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;7
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;8
2022;12;TELEFÔNICA;VIVO;2558157000162;ES;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;MA;Autorização;RURAL;22
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;PB;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;ES;Autorização;RURAL;4
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;18
2022;12;TELEFÔNICA;VIVO;2558157000162;RJ;Autorização;RURAL;4
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;DF;Autorização;RURAL;12
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;3
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;4
2022;12;TELEFÔNICA;VIVO;2558157000162;MT;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;SP;Autorização;RURAL;76
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;31
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;4
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;4
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;416
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;13
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;73
2022;12;OUTROS;ULTRAWEB TELECOMUNICACOES LTDA;18514944000142;SC;Autorização;RURAL;2
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;64
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;10
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;59
2022;12;OUTROS;ULTRAWEB TELECOMUNICACOES LTDA;18514944000142;SC;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;MG;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;GO;Autorização;RURAL;1
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;119
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;56
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;127
2022;12;OUTROS;GGNET TELECOMUNICAÇÕES LTDA EPP;4873690000144;SC;Autorização;RURAL;3
2022;12;TELECOM ITALIA;TIM;2421421000111;CE;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;GO;Autorização;RURAL;1
